,Acacoyagua,Acala,Acapetahua,Aldama,Altamirano,Amatan,Amatenango de la Frontera,Amatenango del Valle,Angel Albino Corzo,Arriaga,Bejucal de Ocampo,Bella Vista,Benemerito de las Americas,Berriozabal,Bochil,Cacahoatan,Catazaja,Chalchihuitan,Chamula,Chanal,Chapultenango,Chenalho,Chiapa de Corzo,Chiapilla,Chicoasen,Chicomuselo,Chilon,Cintalapa,Coapilla,Comitan de Dominguez,Copainala,El Bosque,El Porvenir,Emiliano Zapata,Escuintla,Francisco Leon,Frontera Comalapa,Frontera Hidalgo,Huehuetan,Huitiupan,Huixtan,Huixtla,Ixhuatan,Ixtacomitan,Ixtapa,Ixtapangajoya,Jiquipilas,Jitotol,Juarez,La Concordia,La Grandeza,La Libertad,La Trinitaria,Larrainzar,Las Rosas,Mapastepec,Marques de Comillas,Mazapa de Madero,Mazatan,Metapa,Mezcalapa,Mitontic,Montecristo de Guerrero,Motozintla,Nicolas Ruiz,Ocosingo,Ocotepec,Ocozocoautla de Espinosa,Ostuacan,Osumacinta,Oxchuc,Palenque,Pantelho,Pantepec,Pichucalco,Pijijiapan,Pueblo Nuevo Solistahuacan,Rayon,Reforma,Sabanilla,Salto de Agua,San Andres Duraznal,San Cristobal de las Casas,San Fernando,San Juan Cancuc,San Lucas,Santiago el Pinar,Siltepec,Simojovel,Sitala,Socoltenango,Solosuchiapa,Soyalo,Suchiapa,Suchiate,Sunuapa,Tapachula,Tapalapa,Tapilula,Tecpatan,Tenejapa,Teopisca,Tila,Tonala,Totolapa,Tumbala,Tuxtla Chico,Tuxtla Gutierrez,Tuzantan,Tzimol,Union Juarez,Venustiano Carranza,Villa Comaltitlan,Villa Corzo,Villaflores,Yajalon,Zinacantan
Acacoyagua,0.0,0.005130367042267227,0.0533508975281986,0.0045827406285626,0.0050797336064876296,0.003706018373745965,0.012196787895660428,0.005908995311345051,0.007119994425564419,0.01035620494583602,0.012330215332769864,0.009941124276549305,0.003950691059501466,0.006069710316197876,0.004744765960880827,0.01417199585126668,0.002936472331078215,0.004319732713633227,0.0048076588954011875,0.004329920514751747,0.004180602396031655,0.004382451541637256,0.005556136925265288,0.004916902752492515,0.005258838316747368,0.008268807190292797,0.0036388496305748206,0.007139118082593902,0.004881991907341891,0.006960535492990546,0.005148313167280083,0.004483968698655952,0.014057886002401964,0.005252169190993004,0.04618394623076298,0.004388283003434734,0.009663318699760422,0.014140487523437188,0.024042837704864713,0.004046565495229615,0.004629680778382171,0.03205855951005594,0.00387782642836935,0.003782690815564213,0.005201089391475109,0.0035521861596720405,0.007382080108854613,0.004441694538834919,0.003915167323851294,0.0069812732990744185,0.01204988836045929,0.0027792390562337934,0.0074543867952606944,0.004603709661190852,0.006051765408605707,0.05184433656471121,0.0040719172488173075,0.014109118988536269,0.01842388779658886,0.015508604000118114,0.005109172044219058,0.004539981156126512,0.008272264049470006,0.02096354316513977,0.004641384993616674,0.0029892622909826346,0.004583212395148637,0.006805200833187993,0.0044489070633622115,0.005574572739208646,0.004335507372934705,0.003048361879140371,0.004155240582124519,0.004496308754376393,0.003882645494493909,0.026667460110432865,0.004286667168677787,0.004092879981497292,0.003952356981867393,0.003777956232899594,0.003196820883632839,0.004146339950397734,0.005005630063907965,0.0058540252029458,0.004295352167261974,0.004775429068075559,0.004542644716729644,0.011826623728353984,0.00399832287571586,0.003967060232285105,0.006330796326026913,0.0036989365648421027,0.005220452635715751,0.005742093915973667,0.013380817487875491,0.004027530155403208,0.01993789736793853,0.0045494916418676555,0.003960883896891268,0.0048555034708036736,0.004537089522063329,0.004671457447591179,0.003256029929400184,0.011117823709104403,0.004811425736986305,0.0033721889972921372,0.016278363771149936,0.006020463173839431,0.03075208050578633,0.006804940794945457,0.012860930165243277,0.004717241492172402,0.041328683488361176,0.005849218311085031,0.006617565330996995,0.0035327375705404263,0.0051910832147469355
Acala,0.0,0.0,0.0027383582299237304,0.010754507594351976,0.005547278392356354,0.004802597477847536,0.004626158975172607,0.013480629662620551,0.005599575541828266,0.0055137750894246815,0.00445034196594157,0.004600687146675422,0.002631858805682508,0.011166175037808854,0.009848898782896793,0.003129577095302713,0.003038438409757345,0.008548406957311338,0.013414602089661151,0.008620908091140933,0.004174845504635861,0.009009258570864749,0.03387060230622104,0.06486665803539729,0.00880647783313879,0.0044737658810786824,0.005122471227567672,0.006986276907946006,0.007139560172810548,0.007982942749751065,0.008269506489433786,0.008086387754599434,0.0040138953875215825,0.05367301106868185,0.0026995215866421397,0.005427873721865251,0.004827759203725885,0.0021783687526541647,0.0024603814556678027,0.0059806700292613525,0.011237443079180006,0.002579528724655752,0.005358259125299917,0.004551416066349448,0.014678774040880194,0.004022410504986481,0.007849480607875298,0.007843236490028322,0.0037906011426477085,0.006920567558672908,0.004284977239112211,0.0031765625948907317,0.007124599030855537,0.008834885825894364,0.011264403698620964,0.0030653606837846605,0.002729564432409978,0.004110105727185756,0.0023290890432419334,0.0022331844460408874,0.006410332622029544,0.010341653625582578,0.005068489497435908,0.0037378620944227567,0.022057567001054355,0.00329944538267661,0.0060907663757964565,0.010359038208086348,0.0047969896964469546,0.010625856842104103,0.008661044082428432,0.003432098522600245,0.00748878368157309,0.005833816112483762,0.004327860866810798,0.003479087027260444,0.007031616459656827,0.006166958098809973,0.0038540173675905066,0.005026628916533611,0.0037900183094932865,0.006390804126353984,0.01675400595158353,0.012717312708466193,0.00837842673883642,0.03753228890264209,0.0103666623555676,0.004029643873528907,0.005794048664339473,0.006487092970048054,0.010110472281524042,0.00478117186608246,0.010643061921002103,0.017897499529990875,0.002144492387194041,0.00398517951182053,0.0023701280399869443,0.005376374184133937,0.00565416482022326,0.005731736200865948,0.010314606723402972,0.021871633654238314,0.003943577566039193,0.00452198340892824,0.04262746322426431,0.004264959177868922,0.0022610435589324037,0.0182048236484467,0.0025636996917262466,0.008552856162836924,0.0031610825681883045,0.02199851059808537,0.0026664501293729792,0.0077531906837422825,0.009593979346216964,0.004759017580102709,0.021369164404757963
Acapetahua,0.0,0.0,0.0,0.00454276427881641,0.005324723063240315,0.0037010334784176083,0.013089754352676014,0.006210826137230913,0.007513833972376265,0.009789575859111638,0.013238866189216146,0.010589565992465856,0.0041260830720559576,0.005942302021749599,0.004696963086371777,0.015310854151357387,0.0029518072736691016,0.004291562272165806,0.004756704787002152,0.005633473686300574,0.004158225388991871,0.004351567052945893,0.005462696341466202,0.004860324904242511,0.005183431894141746,0.00875938913764135,0.0036360284945785573,0.00692760411512692,0.004827231916864044,0.007341692640603945,0.005079195476333122,0.0044485567004253915,0.015181734092611919,0.005177147706400129,0.0555087877319939,0.0043571429402890225,0.010283550310257591,0.015275191235404328,0.026872980049907298,0.004029472788355657,0.004587480323520787,0.036857300618744385,0.0038669700954326114,0.0037751454562253294,0.005128992901187544,0.0035520471034550696,0.0071490393090679625,0.004408188090925357,0.003902970964737761,0.0073637742473507024,0.012926650762101335,0.0027975117323587465,0.007875410644226003,0.004562744133586128,0.0063640895134615336,0.03675401755262466,0.004254276329708701,0.015240958984413898,0.020196114534613188,0.0168307125284366,0.005042235078784388,0.00450200002250998,0.008763151402691583,0.023181804450212617,0.005909028955025315,0.003151461831139402,0.004543213868273082,0.006621581432554051,0.0044150775409186535,0.005480140711502089,0.004306660293586522,0.0030613540131404805,0.004133885836127017,0.004460226746393934,0.0038716175040303794,0.022287058276442378,0.0042598031583151825,0.004073994385891798,0.003938803384337592,0.0037705717774750482,0.0032063258490227166,0.004125341487627337,0.004944344737839413,0.005741450653310284,0.004268219589072607,0.004726097724646869,0.004504540155967534,0.012676774187134079,0.003983060562027039,0.0039529638115262675,0.006663391323510376,0.0036941832977688055,0.005147252196378016,0.005636932457547853,0.014417640854785682,0.004011164204797023,0.02196711008154128,0.004511069276924398,0.0039470159273808725,0.004802109809302358,0.004499242255179612,0.005835973645585977,0.003264120078960138,0.010445592714247415,0.004760280885889109,0.0033771624187191626,0.017713975843808315,0.005896505403765582,0.035190316567513015,0.00717389727500097,0.013834330896171285,0.006178226666346755,0.07246372064796466,0.0057369661259917505,0.006449251008829357,0.0035331834102671914,0.005119554879314107
Aldama,0.0,0.0,0.0,0.0,0.005838349603706545,0.006280459861424623,0.003763349059478391,0.011859005127634796,0.0036495821514291624,0.0041491403032587176,0.003636913025026344,0.003744949021011818,0.0024229973511245098,0.007056461553863544,0.020304814561465823,0.0026486593535011657,0.003009387027732529,0.015135887260596618,0.046718764697603825,0.009826252006713707,0.005179175753110061,0.016779880876088636,0.008868292830324214,0.012950882822082021,0.008898595500052914,0.0032597208451087,0.00700548104652628,0.005008424314306231,0.006379807794422956,0.00739660097843394,0.008309628385991313,0.014760860424423565,0.0033179831191111806,0.007512430054039277,0.002244479546231312,0.005295625962545836,0.003906914453759541,0.0023016669873673606,0.0026486593535011657,0.008707328403340533,0.01378528633066741,0.0027484942352034533,0.007360167462926743,0.0058260347724063966,0.018466027704679654,0.004928534341086197,0.00547535976748757,0.013909402289937632,0.0044922776810090576,0.004217096056962707,0.0035169315215961873,0.003156323647110921,0.006513385304099115,0.04433283568269357,0.009805111189370743,0.002514366895960521,0.002512564830213222,0.003388917097635702,0.002485501591087243,0.00236810377656771,0.004682196236126878,0.022225874755989777,0.0033985202929548665,0.003112457377007198,0.008760049372503279,0.003287941500184236,0.0062242771083361,0.0067001112854227,0.003699201064406714,0.010263293950070054,0.009882718595752975,0.00343088471614458,0.01190858549856846,0.008375293003709662,0.005437145911070566,0.0028109638659040634,0.011387845259634809,0.009141341257924724,0.0040899360220725085,0.006703067651610147,0.003821091398289277,0.009686324508849,0.02664376262277851,0.007698987568798276,0.011615689236056152,0.01353754838009011,0.12284137778000506,0.0033036721372429988,0.008970407804336262,0.00808124069410209,0.006470385032289561,0.006241325251490621,0.014313491389062879,0.007726397713339135,0.002260847166653855,0.004834684883755002,0.002536195062280031,0.007397801627880966,0.007981463555057373,0.004281675787708284,0.015430559176205455,0.01453952993187886,0.004857357533235587,0.0035205992369579616,0.011639421968198104,0.005399141929687676,0.0024020532956489805,0.009592539848205385,0.002813740640721352,0.0066429789324833205,0.002673127876402978,0.007631305578848878,0.0022197188314280413,0.004621188102554387,0.0054300199007446415,0.006294338372175106,0.01594617092412254
Altamirano,0.0,0.0,0.0,0.0,0.0,0.007766413789176286,0.008214552695081033,0.01725506434001492,0.005240499193314766,0.005755068845314523,0.007904347136564745,0.00816924205420852,0.005598577774287199,0.008169620733206174,0.008450886024901951,0.005568858327146517,0.0073640257451224765,0.01286071421543691,0.01280000200555005,0.026874538915365193,0.005114280734250043,0.014836537369371587,0.00930780184650851,0.0112299750077368,0.00736218004754588,0.006994611588481076,0.016423746831799844,0.0065627714853152734,0.00663741303169802,0.01861658677857401,0.0071451888502351395,0.007650441816615646,0.007133620504373705,0.00847730774635344,0.005860708576361664,0.005702188052420086,0.008570057283608708,0.004784537637527556,0.005568858327146517,0.009450545763813836,0.01965683994297734,0.005797856053511192,0.006026233614572779,0.0054217008137400794,0.01003548729591562,0.006730951276402525,0.006965034310698523,0.007526936926830029,0.0053154153983435565,0.005822372920785647,0.007612440745213146,0.007825033437460173,0.015695362661401955,0.010682702620084165,0.011240718653635243,0.003924627084907834,0.005767121345474695,0.007303602344041216,0.005197841990581137,0.0049333303961115686,0.006266871538162061,0.014961224736697483,0.004967816568414386,0.006645672256027587,0.010498167014808322,0.008965927048777847,0.006091847094301411,0.007917485539203515,0.005293066293212968,0.008003416197905507,0.02586107502689821,0.008719732239384801,0.01323644217579982,0.006352251874542932,0.00648787882369339,0.004289930834297051,0.007087719302889362,0.006568152209503358,0.0051840817829811635,0.010033773292971334,0.010071617114535523,0.009286223086874785,0.014479397588438964,0.008598908471629974,0.017411897565029547,0.011452545828134658,0.011063605008666561,0.0070994251031007575,0.010296986904926392,0.015603650051709059,0.008609830387564035,0.005601068719707365,0.008764831311812993,0.008616565367789297,0.004693436351230998,0.004701825536875368,0.005312691516342607,0.006039242993883238,0.006231639497604656,0.005885564478405823,0.016764313442213213,0.013930068566346187,0.01069112695330944,0.005101549436543371,0.010159867866399495,0.01206980055385829,0.005009613950526063,0.009706092517006805,0.005948335357237345,0.016114403152873595,0.0056248437216970745,0.009616589072557424,0.005457122502746674,0.006210120798922013,0.006926982989494969,0.014444982169487796,0.012067321306928221
Amatan,0.0,0.0,0.0,0.0,0.0,0.0,0.004045204878052121,0.007557408002598671,0.0042043988407381334,0.004609338697680754,0.003951566904993904,0.004031718595227569,0.0033448345948015345,0.006491121483631599,0.013640584130537089,0.0024569027315577896,0.008659255254545951,0.014235647691924019,0.010110880554355134,0.0070315725221375665,0.01271835286516919,0.01330757930557303,0.0073681922689266014,0.006682834739153952,0.010475952747588951,0.0037225009330033006,0.010939427050344506,0.0052421741008672335,0.013940536912445121,0.006077459492946439,0.012067770459911751,0.015469005954458142,0.0037064895577853946,0.006729082730212121,0.0028860711078879642,0.009970772739149683,0.004148883224538325,0.002455728804894998,0.002694203086677732,0.022422586740256465,0.00808336590085312,0.0027909732683396174,0.030579719694698835,0.015358395133979207,0.010203358119745383,0.01945493605458038,0.005556299744617556,0.015272011293008973,0.01208905936931441,0.004662201168724027,0.003861026066621648,0.007177464499924101,0.005677074573889196,0.012524644272302893,0.006968580855375847,0.0031625387575811093,0.0034180026031262484,0.0037622065714622895,0.002584882504674374,0.002503186009582642,0.006548125917386909,0.011935652546044576,0.003989359452839762,0.0035410473323602355,0.0066134266213181084,0.004325203279295033,0.013474547059341757,0.006296021495017829,0.010020761990052815,0.008753537899383875,0.008825473019666219,0.0063317565693439375,0.014370697274231573,0.02080198928317805,0.017176911222670514,0.0034527739052267878,0.0186144304850319,0.021847299492408493,0.010891407163557404,0.02292261255956729,0.009280805044056763,0.019595337960469892,0.009739318013487607,0.006822878971123496,0.009691438007413353,0.00795600194303541,0.009879731082881477,0.0036951640408706713,0.016225973877396247,0.010757076010279344,0.005656322748824479,0.025132406815924553,0.010332291995117425,0.006836492316274368,0.0024261272455764374,0.013748749648070099,0.0026194172387426595,0.017220074454854285,0.027824470448332878,0.008149743069784256,0.010465287098734346,0.008165465451922272,0.012707122531612576,0.00409493109671148,0.006445188252270954,0.01071542538121237,0.002527098719638162,0.007673055887705629,0.0027782571462874814,0.005738880338464534,0.002404319906786392,0.0057036250394697854,0.002860087519978057,0.004966289244731883,0.0055266394019954975,0.01198435732368329,0.007835147991381821
Amatenango de la Frontera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00933144401356763,0.010592674438535753,0.0051972321938508715,0.056648116283145554,0.03553192643107247,0.004908652814138936,0.005116277886184746,0.0052407185199867985,0.013771231071475789,0.0034129588319351018,0.005809463411683657,0.006896051107447492,0.007889541049779594,0.0035873025756006094,0.005940862894665944,0.006791606767413911,0.007475164789648514,0.0047450009434297025,0.019394008937530557,0.004815601405482226,0.004123844084278228,0.004392810801147171,0.012865364652602553,0.004641505228463941,0.004880007909472001,0.028884616942796947,0.0071279953244232684,0.016018431314168465,0.003909382933897957,0.03176714744504464,0.009420655845330445,0.013771231071475789,0.004899636128079763,0.007144784118579584,0.015495393598211416,0.004080768400358875,0.003757553940987242,0.0058987307219357564,0.003514368389692313,0.004216111920544801,0.004822356246745628,0.0032625321265279516,0.01294610961836579,0.04314166394866585,0.0035226105670071745,0.014976380419791298,0.006148154457706422,0.009750173962252773,0.009665501078816197,0.005126789856886371,0.04162120179498573,0.011464799917563521,0.010104239450307502,0.004205224681659183,0.0063419697712505186,0.01391241095709002,0.0253367194072077,0.008552491037582677,0.0034166521840198077,0.004114959326060917,0.005002457826225065,0.0036868121363471933,0.005041418539770596,0.006376211127909205,0.0037182688216467245,0.005473800045526028,0.004248997825025607,0.003658130828504151,0.00803751093258162,0.004613820368396413,0.004358161327349879,0.003292247683702355,0.004457744151802556,0.003977631789898672,0.004428142393201131,0.007424581777205161,0.005305236812988528,0.0058401665024562285,0.007021559049240967,0.00629014070360106,0.025188213727655614,0.005027819653275924,0.005281871311228918,0.010617391405692332,0.0038550250641294667,0.005376777211149495,0.006096548337973963,0.009027601699907916,0.00335231556260917,0.012124295456242365,0.004087453058874391,0.004187128148082963,0.004006889687474571,0.006511469783363573,0.008372443467736648,0.0040840001801874855,0.005411571662688015,0.00716928544034263,0.004297747334619757,0.01047646848963468,0.005767447459638286,0.01678849805265679,0.01226754500097753,0.014167217016241797,0.009244458339386693,0.013020199455652434,0.0074994430405806315,0.006847519610026565,0.0046048937603760205,0.00664830298965414
Amatenango del Valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044404393259667154,0.005028365925164867,0.00657223862638306,0.006857988130161969,0.003815288609104873,0.008360118462170137,0.008824605374143835,0.004272963354110588,0.003972146735027521,0.011361975713168673,0.019501232424715277,0.02488000360375938,0.004301774912384767,0.012069247286232421,0.010361965156796969,0.019157728084798376,0.007125871603436214,0.005632236065596385,0.007344945864082926,0.006028889157764069,0.0061268962077668495,0.02462782328369066,0.006817049805847119,0.00755086076925217,0.005772010030429866,0.011528287691947015,0.004540724396627573,0.004966263036861474,0.007299873325189759,0.0035783423786244807,0.00427280347970126,0.007615311967706369,0.022506743551159156,0.004482443717117853,0.00535342295583694,0.0046433771881319915,0.011836569013847328,0.0041613241487127315,0.006566947577490578,0.007366740955527145,0.0037029578034682275,0.005107984904882472,0.0062640128573777975,0.004177154197722685,0.0181067412745492,0.013303729927642465,0.04157233886859192,0.003086965959900506,0.003994376307443801,0.005944779720706817,0.003939806066213873,0.003707285373929599,0.005650629315397971,0.01461282374510218,0.004876349055964004,0.0052872456363966544,0.02570896363312912,0.004361578833330712,0.005433400822433905,0.007959797744007537,0.004499043398311924,0.008094642629698869,0.014861949185718506,0.004562858341576238,0.00977398305818706,0.0057586212724216514,0.004441475520578265,0.0034429503055552137,0.00673662213046211,0.006036218532989802,0.0037550709803284496,0.006300298929671523,0.0051175988580549414,0.006220678636408543,0.026819919292452792,0.009076396290066468,0.011522471786601629,0.015275443753572971,0.014244632356840798,0.005737500927225975,0.0080472988672064,0.008984282757519287,0.01514980333168952,0.004848606060561088,0.009364429527905942,0.009106795703235752,0.0034999300830323606,0.0038618652951563823,0.004042020975650509,0.005369027667717591,0.005606520618027583,0.005183569448091279,0.015905183487289355,0.0601364997449215,0.005360962280215927,0.004287884151258495,0.02283527629388688,0.00588110095999309,0.0037739332006563975,0.011146824589026204,0.0046221402261319424,0.018925955773394156,0.0043237626305043025,0.019093666129391288,0.004171813348873916,0.005579675500624829,0.006514501904039117,0.006710495848995553,0.01706503546365098
Angel Albino Corzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009088109955719275,0.014787487653166615,0.015386833132113344,0.004983396420991472,0.010005238686134336,0.008811957217145627,0.009238499456555525,0.004322698936074188,0.007624030612299934,0.008998419507051346,0.007650849231482042,0.006480426024004306,0.007791891867084828,0.014132890600255334,0.010915328875002794,0.008986413868853883,0.01374584106431055,0.005948529288242741,0.007984372541892245,0.00807765586033099,0.009318486464480417,0.008713768728406832,0.008068915497722682,0.016932878553902644,0.012424833436416424,0.010777295657258788,0.006912969356713164,0.013690861305643906,0.007781438018981015,0.009646092865973023,0.006920759908829479,0.00847847185177302,0.010237770341636887,0.0065076928935855404,0.005907130069051075,0.010234759380323779,0.005466523368803252,0.011239668731091914,0.007952745242665657,0.005487498727797936,0.028223752949322257,0.016019589192841986,0.004452675808674936,0.010081079863526137,0.00840441661169778,0.00837844895082928,0.007903975710756853,0.005148293183091256,0.012082595100584563,0.008734546173102143,0.008117538540148801,0.007615132804987347,0.008224655387363446,0.0403321079985031,0.012641480043428792,0.009817996245810963,0.004565216929071423,0.007397149055930367,0.009685917621787336,0.006406262893898539,0.009794508216624944,0.007666017783708175,0.004683594506025031,0.007195262635581346,0.006826853897622231,0.0057258631758041745,0.00624511953451425,0.0075362494184594096,0.007036677330832528,0.0055499262821346205,0.0062702500454785695,0.00498696712705736,0.007172276945047872,0.009605268478283859,0.010549683007603733,0.007559441236215823,0.010318211410834166,0.008232113480454582,0.020486589981632882,0.006801059459345149,0.006724182869671618,0.008055840361737617,0.006086379249484738,0.009098802781574912,0.012829451665653838,0.007579473151717512,0.005676980059101776,0.009011235002388238,0.00732243823984631,0.006709058751704758,0.007140635628993461,0.008216564076806427,0.008598580335279962,0.0051107410752756635,0.00776263388970176,0.010480315519421263,0.005357675423526988,0.008292598050446864,0.011962835220876466,0.010638913995596147,0.00908139031982091,0.008528339104220375,0.010111837189707863,0.009366138528006437,0.017317684781429286,0.014891899697045245,0.005709423493219191,0.0102017553193573
Arriaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006664150944409824,0.005965986470426198,0.003744370411483271,0.01562962927367652,0.009483845436824278,0.007114505985908356,0.00449634577274098,0.008056319457942891,0.009712725657349847,0.00808797493701939,0.007629552266683396,0.008254538771235278,0.012869124271126199,0.01012219052647455,0.011511441414360427,0.007188526456080707,0.00612881967176891,0.023957977943047697,0.009990161955057583,0.00719114246336988,0.011043726785093752,0.008584820732104141,0.007088474504473499,0.01148201065205428,0.010364825776741287,0.008273547297048253,0.0058744694655630016,0.007107341069644323,0.008737416147696922,0.007235377823826202,0.009077793254422817,0.00951673104981613,0.006761056687102663,0.006504242909042853,0.011264059929524551,0.005909782692199567,0.02660993829909256,0.008445758158117682,0.006863920378744075,0.010032258895609956,0.00658948258673826,0.004170738176259131,0.006778916082063931,0.00898778329715623,0.00808135954776375,0.013437059916112416,0.003841996463085092,0.007100190570228743,0.00794393582615725,0.007403169628717901,0.010882553330862422,0.008771157334677059,0.007935003962436444,0.008336373761239363,0.009118004963005476,0.0046085499325808155,0.0089180162279201,0.020862056839511138,0.008469286971675231,0.01295858109870792,0.00810555821237538,0.004736126452950233,0.007553434643733485,0.008625290423724407,0.006774268213665697,0.018160592101277087,0.007952887820451822,0.0073694862285786,0.006967504804954152,0.006491422877727831,0.005065506382043182,0.0075269646789836876,0.010466387893189428,0.014399577572695289,0.007980187532187885,0.009594824156861996,0.008780121016264244,0.006528740999014805,0.00709738538037198,0.00700877505033616,0.007506663262398908,0.006283760099267949,0.011346199089081034,0.013803115611186339,0.006929146636410005,0.007180689841636187,0.008185468855950803,0.00880319880561925,0.006991416776497082,0.009890160334386345,0.008761434938100192,0.009223122686009005,0.005200552779166773,0.04547880320418294,0.009727068840627531,0.005471863426546365,0.0075569009795542885,0.01533846176637499,0.009409781120432243,0.006843003213136922,0.0068008467714059245,0.009385646600716755,0.010124264958378353,0.014372347300372425,0.01934652462653248,0.0058615746287345085,0.011221841294103644
