,Arriaga,Berriozábal,Bochil,Chiapa de Corzo,Cintalapa,Comitán de Domínguez,Huixtla,La Trinitaria,Las Margaritas,Mapastepec,Motozintla,Ocosingo,Palenque,Pichucalco,San Cristóbal de las Casas,Tapachula,Tonalá,Tuxtla Gutiérrez,Villaflores,Yajalón
Arriaga,0.0,0.0665270729781551,0.04033213740513338,0.054828643082844505,0.10198712882648465,0.030607116750758008,0.04063663561890464,0.028859369864210036,0.028675049787166455,0.05738166287896282,0.03550275254480443,0.019574505307898532,0.020114291668799272,0.028798354524945054,0.044515614442298866,0.03494899999438846,0.19431103256366444,0.06533153517755234,0.08215682205438302,0.02491127452864597
Berriozábal,0.0,0.0,0.06388237332043305,0.12044262368755174,0.0853514608571244,0.04083632137079011,0.022837119975512018,0.03744385229380553,0.03709691940863209,0.02798323830780664,0.02092982198786569,0.02215456662513048,0.022935740802188475,0.037489891726667765,0.07668187368596492,0.020712866727233593,0.04552803740507991,0.19941103973284893,0.08785456469263771,0.030427687392727
Bochil,0.0,0.0,0.0,0.1116263077660808,0.05954663246538758,0.057281364810644046,0.024604383514907964,0.0523351249789017,0.0518315806995865,0.02885578912902807,0.02904363509906296,0.03047563254629333,0.03901755901624145,0.07797383596761327,0.11179018324231033,0.022736191190059058,0.04095927672244313,0.12210351253901805,0.0649232130575796,0.07489577725484206
Chiapa de Corzo,0.0,0.0,0.0,0.0,0.0695129134386881,0.0576005447892929,0.022387035794077362,0.052020324171137354,0.05078293579917209,0.02697934727345251,0.028403165992938968,0.025513297904508913,0.02649442539159365,0.03622611120186665,0.11249499568014026,0.020446085735282078,0.041558526792495894,0.28892704510907974,0.10443091757698501,0.03622232734928848
Cintalapa,0.0,0.0,0.0,0.0,0.0,0.05750770180079848,0.04785624119941412,0.053730412644168835,0.05333626564504329,0.06075595333417313,0.04330033032613275,0.034763313437658996,0.03581788168075627,0.053599785776361784,0.09023572368786709,0.04278945875704468,0.11271503816981543,0.15014969816113444,0.11799642712310061,0.045445768256530114
Comitán de Domínguez,0.0,0.0,0.0,0.0,0.0,0.0,0.028441388461592196,0.3435991573680056,0.30419955839559565,0.02214942462481467,0.034935917592832925,0.019467579481582085,0.02022275525075365,0.019692440666654928,0.06769392385340585,0.025146640768407055,0.019230990761128323,0.040366249999344045,0.027117109678750327,0.027736863097132764
Huixtla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05347617438469544,0.04529714677452233,0.14917663888462318,0.2651882092472533,0.019102664019494797,0.0205079510255083,0.02109350272462597,0.03476793502487221,0.24789974515893978,0.05337498157136709,0.03150846729731905,0.034237509794163075,0.0243690740926154
La Trinitaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544899209907144,0.04983530367889373,0.08163907365064098,0.03358961298599077,0.040470178343202795,0.03946404170307231,0.12041054440325993,0.05707623920771875,0.0385862646121135,0.07671012767835328,0.05329892826649933,0.05442976447954032
Las Margaritas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06559596051672584,0.09978780118689541,0.07930736991838756,0.07883677203218314,0.05862273655019384,0.1762041973370469,0.07383477618973062,0.05732821595944589,0.113164015462667,0.07897014441080415,0.11834801043591962
Mapastepec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21941646691716596,0.0379804590827601,0.0387641705905409,0.05006113702740268,0.0657252784201942,0.21137886663168165,0.1618280733253807,0.08041470980322513,0.08914001988304851,0.04529081831860012
Motozintla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052554355811516316,0.05674455906647213,0.050821215666951414,0.10215487381269091,0.39725578458335864,0.11840242269792416,0.07386230803711641,0.07969527656522025,0.0685092037587497
Ocosingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665811474328768,0.10141600399220449,0.14171347376056992,0.06023367336255989,0.07387462192425218,0.11367100021840706,0.09170780167686221,0.15080227763226745
Palenque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15821874395431068,0.1604132088088573,0.06953084078525595,0.08166913766647126,0.12741068024554147,0.10201053294147877,0.3007468555980845
Pichucalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18482323947674575,0.07689813088169592,0.12281915205045772,0.1914676036493837,0.1616342159110218,0.262357658030695
San Cristóbal de las Casas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07928893549569156,0.11430705890427403,0.4092384714833914,0.19060344221751996,0.2065620918991231
Tapachula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566522198586562,0.22348898277454016,0.24099614766176444,0.1788626497050392
Tonalá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37995438736237525,0.4507113897111129,0.16933422292651185
Tuxtla Gutiérrez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7098333257609623,0.2901666742390377
Villaflores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yajalón,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
