Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Arriaga,Berriozábal,126.426,126.943,0.517,108.9
Arriaga,Bochil,208.359,209.39,1.031,168.9
Arriaga,Chiapa de Corzo,153.55,154.028,0.478,122.6
Arriaga,Cintalapa,82.481,82.806,0.325,87.1
Arriaga,Comitán de Domínguez,274.795,275.921,1.127,226.9
Arriaga,Huixtla,207.642,207.821,0.179,153.2
Arriaga,La Trinitaria,291.497,292.631,1.134,242.6
Arriaga,Las Margaritas,293.345,294.512,1.166,247.8
Arriaga,Mapastepec,147.058,147.175,0.117,110.3
Arriaga,Motozintla,237.037,237.873,0.836,178.2
Arriaga,Ocosingo,428.78,431.436,2.656,468.2
Arriaga,Palenque,417.226,419.858,2.632,368.7
Arriaga,Pichucalco,291.695,293.251,1.556,254.9
Arriaga,San Cristóbal de las Casas,188.796,189.712,0.915,146.9
Arriaga,Tapachula,241.413,241.642,0.229,180.9
Arriaga,Tonalá,43.45,43.462,0.013,44.3
Arriaga,Tuxtla Gutiérrez,128.827,129.266,0.439,95.8
Arriaga,Villaflores,102.138,102.793,0.655,94.2
Arriaga,Yajalón,337.123,339.009,1.886,295.1
Berriozábal,Arriaga,125.672,126.186,0.513,107.7
Berriozábal,Bochil,117.125,117.891,0.766,119.2
Berriozábal,Chiapa de Corzo,62.316,62.529,0.213,72.9
Berriozábal,Cintalapa,87.987,88.237,0.25,102.8
Berriozábal,Comitán de Domínguez,183.56,184.423,0.862,177.2
Berriozábal,Huixtla,329.087,329.777,0.69,257.0
Berriozábal,La Trinitaria,200.263,201.132,0.869,192.9
Berriozábal,Las Margaritas,202.111,203.013,0.901,198.1
Berriozábal,Mapastepec,268.503,269.131,0.628,214.1
Berriozábal,Motozintla,358.482,359.829,1.347,282.0
Berriozábal,Ocosingo,337.546,339.937,2.391,418.5
Berriozábal,Palenque,325.992,328.359,2.367,318.9
Berriozábal,Pichucalco,199.59,200.885,1.295,204.9
Berriozábal,San Cristóbal de las Casas,97.562,98.213,0.65,97.2
Berriozábal,Tapachula,362.858,363.598,0.74,284.7
Berriozábal,Tonalá,164.895,165.418,0.524,148.1
Berriozábal,Tuxtla Gutiérrez,37.593,37.767,0.174,46.1
Berriozábal,Villaflores,85.505,85.723,0.218,115.3
Berriozábal,Yajalón,245.889,247.51,1.621,245.4
Bochil,Arriaga,206.998,208.028,1.031,166.9
Bochil,Berriozábal,116.486,117.256,0.769,117.6
Bochil,Chiapa de Corzo,90.105,90.728,0.623,89.4
Bochil,Cintalapa,169.312,170.079,0.767,161.9
Bochil,Comitán de Domínguez,175.695,176.805,1.111,167.9
Bochil,Huixtla,410.412,411.619,1.208,316.2
Bochil,La Trinitaria,192.397,193.515,1.117,183.6
Bochil,Las Margaritas,194.245,195.395,1.15,188.8
Bochil,Mapastepec,349.828,350.974,1.146,273.3
Bochil,Motozintla,345.312,348.704,3.393,327.6
Bochil,Ocosingo,329.68,332.319,2.639,409.2
Bochil,Palenque,256.426,259.566,3.14,303.0
Bochil,Pichucalco,128.002,129.885,1.883,119.2
Bochil,San Cristóbal de las Casas,89.696,90.595,0.899,87.9
Bochil,Tapachula,444.183,445.441,1.258,343.9
